id,explanation,statement,sub_element,thematic_element
22,"The organisation empowers staff to act as mentors, orchestrators and facilitators of learning and as role models for lifelong learning and personal professional updating. It is expected that staff will experiment with the creative and innovative use of digital technologies to make improvements to learning and teaching.",New roles are envisaged for staff,A rethinking of roles and pedagogical approaches takes place (The organisation empowers and expects staff and students to adopt and adapt effective and innovative pedagogical practices made possible by the use of digital learning technologies and to use these practices in diverse learning settings (inside and outside the organisation) and for various purposes (formal and informal).,Teaching and Learning Practices
23,"The organisation promotes diverse digital learning technologies and multi-modal content, tools and platforms that foster student-centred approaches optimised for particular learning contexts (including, for example, audio-visual material, e-portfolios, OER, simulations, serious games, coding and maker environments, creative arts). Students are encouraged and expected to act as self-directed learners and may be considered and included as co-designers of the learning process.",New roles are envisaged for students,A rethinking of roles and pedagogical approaches takes place (The organisation empowers and expects staff and students to adopt and adapt effective and innovative pedagogical practices made possible by the use of digital learning technologies and to use these practices in diverse learning settings (inside and outside the organisation) and for various purposes (formal and informal).,Teaching and Learning Practices
24,"Teaching and learning is 'redesigned' to incorporate digital technologies. Building on relevant research, the organisation promotes a diversity of technology-enabled learning and teaching practices that are flexible, adaptable and engaging (e.g., learning by playing, learning by exploring, learning-by-creating, learning-by-doing, augmented and enhanced through digital technologies).",Pedagogical approaches are expanded,A rethinking of roles and pedagogical approaches takes place (The organisation empowers and expects staff and students to adopt and adapt effective and innovative pedagogical practices made possible by the use of digital learning technologies and to use these practices in diverse learning settings (inside and outside the organisation) and for various purposes (formal and informal).,Teaching and Learning Practices
25,"The organisation supports and anticipates the use of digital learning technologies to increase opportunities for personalised learning, taking into account students' strengths, potential, and expectations.",Personalised learning is developed,A rethinking of roles and pedagogical approaches takes place (The organisation empowers and expects staff and students to adopt and adapt effective and innovative pedagogical practices made possible by the use of digital learning technologies and to use these practices in diverse learning settings (inside and outside the organisation) and for various purposes (formal and informal).,Teaching and Learning Practices
26,Students and staff are encouraged to explore and diversify their creative practices by using digital technologies as enablers of creativity and creative expression.,Creativity is promoted,A rethinking of roles and pedagogical approaches takes place (The organisation empowers and expects staff and students to adopt and adapt effective and innovative pedagogical practices made possible by the use of digital learning technologies and to use these practices in diverse learning settings (inside and outside the organisation) and for various purposes (formal and informal).,Teaching and Learning Practices
27,"As learning is a social process, the organisation encourages and expects collaboration and group work, supported in many cases by digital tools and platforms. This fosters the abilities of staff and students to think and work both independently and with others, enabling them to consider a plurality of perspectives.",Collaboration and group work is expected,A rethinking of roles and pedagogical approaches takes place (The organisation empowers and expects staff and students to adopt and adapt effective and innovative pedagogical practices made possible by the use of digital learning technologies and to use these practices in diverse learning settings (inside and outside the organisation) and for various purposes (formal and informal).,Teaching and Learning Practices
28,"The organisation promotes the development by staff and students of social and emotional skills (the skills necessary to understand and manage emotions, set and achieve positive goals, feel and show empathy for others, establish and maintain positive relationships, and make responsible decisions) and how such skills can be applied in digital and online environments.",Social and emotional skills are developed,A rethinking of roles and pedagogical approaches takes place (The organisation empowers and expects staff and students to adopt and adapt effective and innovative pedagogical practices made possible by the use of digital learning technologies and to use these practices in diverse learning settings (inside and outside the organisation) and for various purposes (formal and informal).,Teaching and Learning Practices
29,The organisation has a commitment to staff Professional Development in relation to the integration and effective use of digital technologies and digital pedagogy.,A commitment to Continuous Professional Development (CPD) is evident,,Professional Development
30,Professional Development is organisation-wide and targets leadership as well as front line staff through appropriate CPD interventions with an expectation of wide staff participation.,CPD is provided for staff at all levels,,Professional Development
31,"The organisation has processes in place to identify, design and develop (or procure) Professional Development programmes that address various facets of digital learning technologies and digital pedagogy, aligned with both individual needs and the particular needs of the organisation.",CPD is aligned with individual and organisational needs,,Professional Development
32,"The learning organisation utilises a wide range of approaches to staff Professional Development (including coaching and mentoring), blending face-to-face and online delivery within and outside the organisation.",A wide range of CPD approaches is evident,,Professional Development
33,Learning organisations will encourage and support staff in undertaking accredited/certified Professional Development opportunities.,Accredited/certified CPD opportunities are promoted,,Professional Development
34,"Organisations use digital learning technologies to extend the scope and variety of processes for formative assessment (assessment for learning), enabling teachers/tutors to assess not only knowledge but also skills and competences (especially digital competence).",The scope of formative assessment is extended,"Assessment Formats are engaging and motivating (A variety of assessment formats is used to provide timely, personalised and meaningful feedback that engages and motivates students.)",Assessment practices
35,"Digital learning technologies are utilised to diversify summative Assessment practices (assessment of learning). Organisations use online testing methodologies that can provide immediate, even real-time feedback to students and teachers that can also allow greater flexibility in the scheduling of tests.",Summative assessment is diversified,"Assessment Formats are engaging and motivating (A variety of assessment formats is used to provide timely, personalised and meaningful feedback that engages and motivates students.)",Assessment practices
36,"Digital learning technologies enable the integration between practices of effective and accurate self- and peer- assessmentacross the organisation for formative, summative or non-formal assessments.",Self- and peer-assessment are promoted,"Assessment Formats are engaging and motivating (A variety of assessment formats is used to provide timely, personalised and meaningful feedback that engages and motivates students.)",Assessment practices
37,"The organisation encourages staff to exploit the potential of digital learning technologies to provide rich, personalised and meaningful feedback to the student and to document and communicate the learning progress of each student.","Rich, personalised and meaningful feedback is encouraged and expected","Assessment Formats are engaging and motivating (A variety of assessment formats is used to provide timely, personalised and meaningful feedback that engages and motivates students.)",Assessment practices
38,"The learning organisation has policies in place for the recognition and accreditation of prior, experiential and open learning,which are systematically reviewed and improved, based on pedagogical and technological developments (e.g., Open Badges).","Prior, experiential and open learning are recognised and accredited",Informal and Non-Formal Learning are recognized (Digital learning technologies enable individuals to learn where and when they want. Informal and non-formal learning that take place outside formal settings is recognised and valued by the learning organisation.),Assessment practices
39,"The organisation has given strategic consideration to the implementation of learning analytics, intended to optimise individual and group learning outcomes and organisational performance.",Learning analytics is given strategic consideration,"Learning Design is Informed by Analytics (Use of digital learning technologies potentially makes available vast amounts of data about learning processes. Learning organisations utilise learning analytics for collection, analysis and reporting of data about students and learning contexts for improving learning outcomes and for curriculum or programme planning and decision-making.)",Assessment practices
40,"Before implementing learning analytics, the organisation has adopted a code of practice and processes for safe and secure collection, validation, storage, aggregation, analysis and reporting of student data.",A code of practice for learning analytics is in place,"Learning Design is Informed by Analytics (Use of digital learning technologies potentially makes available vast amounts of data about learning processes. Learning organisations utilise learning analytics for collection, analysis and reporting of data about students and learning contexts for improving learning outcomes and for curriculum or programme planning and decision-making.)",Assessment practices
41,"The organisation has implemented different facets of learning analytics, including analytics to provide real-time personal feedback to students (impacting on their immediate learning process) and analytics that aggregate data with a view to improving future learning processes or supporting tutorial or remedial interventions by staff.",Learning is supported through learning analytics,"Learning Design is Informed by Analytics (Use of digital learning technologies potentially makes available vast amounts of data about learning processes. Learning organisations utilise learning analytics for collection, analysis and reporting of data about students and learning contexts for improving learning outcomes and for curriculum or programme planning and decision-making.)",Assessment practices
42,"Data relating to individual progress and achievements are aggregated and analysed at organisational level to inform processes including quality management and enhancement, course design and review, and tailored interventions to improve retention and outcomes generally.",Quality management and curriculum/programme design are supported through learning analytics,"Learning Design is Informed by Analytics (Use of digital learning technologies potentially makes available vast amounts of data about learning processes. Learning organisations utilise learning analytics for collection, analysis and reporting of data about students and learning contexts for improving learning outcomes and for curriculum or programme planning and decision-making.)",Assessment practices
43,"The organisation encourages and supports staff and students to be creators as well as consumers of subject-specific and cross-curricular digital content, for use in both formal and informal curriculum areas.",Staff and students are the creators of contents,"Digital Content and OER are widely promoted and used (The organisation expects, facilitates and encourages the use of suitable, high-quality and customised digital content that is accessible from everywhere, to meet staff and student needs wherever and whenever teaching and learning takes place.)",Content and Curricula
44,Staff and students develop proficiency in identifying and using content repositories relevant to their programmes of study and in adding community value to repositories through participatory annotation and comments.,Content repositories are widely and effectively used,"Digital Content and OER are widely promoted and used (The organisation expects, facilitates and encourages the use of suitable, high-quality and customised digital content that is accessible from everywhere, to meet staff and student needs wherever and whenever teaching and learning takes place.)",Content and Curricula
45,"The organisation has policies and procedures in place to ensure that stakeholders are well-informed about intellectual property and copyright rules when sourcing, using, re-mixing or creating digital content.",Intellectual property and copyright are respected,"Digital Content and OER are widely promoted and used (The organisation expects, facilitates and encourages the use of suitable, high-quality and customised digital content that is accessible from everywhere, to meet staff and student needs wherever and whenever teaching and learning takes place.)",Content and Curricula
46,"The organisation has policies and procedures in place in respect of licences for content (e.g., e-books, journals), software, apps, platforms and other educational resources sourced from commercial publishers/providers.",Digital tools and contents are licensed as required,"Digital Content and OER are widely promoted and used (The organisation expects, facilitates and encourages the use of suitable, high-quality and customised digital content that is accessible from everywhere, to meet staff and student needs wherever and whenever teaching and learning takes place.)",Content and Curricula
47,The organisation actively promotes the use/re-mix/creation of Open Educational Resources (OER) and Creative Commons licencing to support modernised curricula.,Open Educational Resources are promoted and used,"Digital Content and OER are widely promoted and used (The organisation expects, facilitates and encourages the use of suitable, high-quality and customised digital content that is accessible from everywhere, to meet staff and student needs wherever and whenever teaching and learning takes place.)",Content and Curricula
48,"The learning organisation has processes in place to reimagine and redesign subject-based learning to accommodate more integrated approaches (cross- and trans-disciplinary) and to offer consistent student-centred learning and assessment. Supporting such an approach, digital learning technologies facilitate the selection, creation and thematic organisation of rich multimodal content that enables students to analyse and understand complex ideas from multiple perspectives.",Subject-based learning is reimagined to create more integrated approaches areas,"Curricula are redesigned or re-interpreted to reflect the pedagogical possibilities afforded by digital technologies (Curricula are iteratively redesigned (or re-interpreted as appropriate) in terms of content, pedagogical approach and plans for student engagement. Students may be involved as co-designers of the curricula and are highly engaged as self-directed learners.)",Content and Curricula
49,"Flexible and tailored-made timetables are deployed to provide staff and students with greater opportunities to engage in effective learning, encompassing individual and group activities on and off campus (or in/out of school).",The time and place of learning is rescheduled,"Curricula are redesigned or re-interpreted to reflect the pedagogical possibilities afforded by digital technologies (Curricula are iteratively redesigned (or re-interpreted as appropriate) in terms of content, pedagogical approach and plans for student engagement. Students may be involved as co-designers of the curricula and are highly engaged as self-directed learners.)",Content and Curricula
50,"The organisation is committed to developing and providing whole courses or programmes fully online, as a means of opening up access to new previously unrepresented student cohorts while at the same time affording greater flexibility to existing cohorts.",Online provision is a reality,"Curricula are redesigned or re-interpreted to reflect the pedagogical possibilities afforded by digital technologies (Curricula are iteratively redesigned (or re-interpreted as appropriate) in terms of content, pedagogical approach and plans for student engagement. Students may be involved as co-designers of the curricula and are highly engaged as self-directed learners.)",Content and Curricula
51,"Innovation in curriculum and programme design takes account of the leverage potential of digital learning technologies to engage staff and students in authentic contexts where they can comprehensively develop and apply their prior knowledge, inquiry and independent thinking skills.",Learning in authentic contexts is promoted,"Curricula are redesigned or re-interpreted to reflect the pedagogical possibilities afforded by digital technologies (Curricula are iteratively redesigned (or re-interpreted as appropriate) in terms of content, pedagogical approach and plans for student engagement. Students may be involved as co-designers of the curricula and are highly engaged as self-directed learners.)",Content and Curricula
52,Periodic review of curricula is undertaken at the organisation level with the aim of integrating and effectively using of digital learning technologies to support learning and teaching.,Digital learning provision is evident across curriculum,"Curricula are redesigned or re-interpreted to reflect the pedagogical possibilities afforded by digital technologies (Curricula are iteratively redesigned (or re-interpreted as appropriate) in terms of content, pedagogical approach and plans for student engagement. Students may be involved as co-designers of the curricula and are highly engaged as self-directed learners.)",Content and Curricula
53,"Students' digital competence is routinely encouraged, developed and assessed in diverse learning settings and across the curriculum.",Students' digital competence is developed across the curriculum,"Curricula are redesigned or re-interpreted to reflect the pedagogical possibilities afforded by digital technologies (Curricula are iteratively redesigned (or re-interpreted as appropriate) in terms of content, pedagogical approach and plans for student engagement. Students may be involved as co-designers of the curricula and are highly engaged as self-directed learners.)",Content and Curricula
54,"The organisation actively promotes and expects staff engagement with networks, portals and professional/discipline-based communities of practice that promotes excellence, quality and accessibility of educational content and knowledge about the deployment of digital learning technologies in different contexts.",Networked collaboration for staff to pool expertise and share contents is the norm,"Networking, sharing & collaboration is promoted (Digital-age learning relies extensively on multidimensional communication, networking and sharing with the internal and external knowledge ecosystem. The organisation offers the necessary tools, infrastructure and support systems to develop a culture of connected learning that extends beyond the institutional walls and promotes the kind of anytime, anywhere learning necessary for digital learning environments to thrive.)",Collaboration and Networking
55,"Networking, collaboration and knowledge exchange activities, including those mediated by online platforms, are recognised as professionally relevant learning outcomes.",Knowledge exchange efforts are recognised,"Networking, sharing & collaboration is promoted (Digital-age learning relies extensively on multidimensional communication, networking and sharing with the internal and external knowledge ecosystem. The organisation offers the necessary tools, infrastructure and support systems to develop a culture of connected learning that extends beyond the institutional walls and promotes the kind of anytime, anywhere learning necessary for digital learning environments to thrive.)",Collaboration and Networking
56,"Digital technologies and social/professional media platforms are used extensively on an organisation-wide basis for effective networking, interaction, and collaboration and to create a more challenging learning environment for students.",Students engage in effective networking,"Networking, sharing & collaboration is promoted (Digital-age learning relies extensively on multidimensional communication, networking and sharing with the internal and external knowledge ecosystem. The organisation offers the necessary tools, infrastructure and support systems to develop a culture of connected learning that extends beyond the institutional walls and promotes the kind of anytime, anywhere learning necessary for digital learning environments to thrive.)",Collaboration and Networking
57,"The organisation encourages, facilitates and expects staff and students to organise and/or take part in knowledge-exchange activities and events (face to face, online, or in combination) for cross-fertilisation of learning experiences with players in the external knowledge ecosystem.",Participation in knowledge-exchange activities and events is promoted,"Networking, sharing & collaboration is promoted (Digital-age learning relies extensively on multidimensional communication, networking and sharing with the internal and external knowledge ecosystem. The organisation offers the necessary tools, infrastructure and support systems to develop a culture of connected learning that extends beyond the institutional walls and promotes the kind of anytime, anywhere learning necessary for digital learning environments to thrive.)",Collaboration and Networking
58,"The organisation has processes in place, supported by relevant digital tools and platforms, for bringing internal stakeholders together (staff and students), to build synergies, exploit internal knowledge and resources.",Internal collaboration and knowledge exchange is expected,"Networking, sharing & collaboration is promoted (Digital-age learning relies extensively on multidimensional communication, networking and sharing with the internal and external knowledge ecosystem. The organisation offers the necessary tools, infrastructure and support systems to develop a culture of connected learning that extends beyond the institutional walls and promotes the kind of anytime, anywhere learning necessary for digital learning environments to thrive.)",Collaboration and Networking
59,"The organisation has in place an explicit communication strategy, which identifies and uses appropriate communication channels/systems for different purposes and target groups, including a website social media presence and learning platform.",An explicit communication strategy is in place,"A strategic approach is taken to communication (The organisation's communication strategies are underpinned by a dynamic digital presence characterised by open communication processes and sharing of experiences. Digital technologies and social/professional media platforms which ensure communication with stakeholders and the wider learning community are deployed and used. These complement other means of communication (e.g., face-to-face) and enable safe and effective two-way communication within, and beyond, the organisation.)",Collaboration and Networking
60,"The organisation has a dynamic digital presence (websites, social networks), which is updated regularly and used by all stakeholders as a hub to support and open up online collaboration, sharing, communication and learning.",A dynamic online presence is evident,"A strategic approach is taken to communication (The organisation's communication strategies are underpinned by a dynamic digital presence characterised by open communication processes and sharing of experiences. Digital technologies and social/professional media platforms which ensure communication with stakeholders and the wider learning community are deployed and used. These complement other means of communication (e.g., face-to-face) and enable safe and effective two-way communication within, and beyond, the organisation.)",Collaboration and Networking
61,"The organisation is committed to collaboration and knowledge exchange through partnerships with other learning organisations, private and public sector organisations (including those in the technology/digital media sectors) and the wider community.",A commitment to knowledge exchange through partnerships is evident,"Partnerships are developed (Engagement and collaboration with the external knowledge ecosystem and its stakeholders can open up new relationships and generate a valuable resource in terms of opportunities for developing expertise and organisation-wide learning experiences. In this context, the learning organisation develops and maintains contacts and develops relationships with local, regional, national and international partners geared towards collaborative working and sharing of resources and expertise, thereby more fully exploiting the potential of digital learning technologies.)",Collaboration and Networking
62,"The organisation encourages and supports staff and students to actively take part in partnerships with external organisations, facilitated and sustained as appropriate through the use of digital tools and platforms.",Staff and students are incentivised to be actively involved in partnerships,"Partnerships are developed (Engagement and collaboration with the external knowledge ecosystem and its stakeholders can open up new relationships and generate a valuable resource in terms of opportunities for developing expertise and organisation-wide learning experiences. In this context, the learning organisation develops and maintains contacts and develops relationships with local, regional, national and international partners geared towards collaborative working and sharing of resources and expertise, thereby more fully exploiting the potential of digital learning technologies.)",Collaboration and Networking
63,"Physical learning spaces have been designed/re-arranged and furnished to harness and optimise the affordances of digital learning technologies, giving access to a wide range of relevant digital tools, content and services in learning settings that can be flexibly configured.",Physical learning spaces optimise the affordances of digital-age learning,"Physical and Virtual Learning Spaces are designed for digital-age learning (The way in which physical and virtual learning spaces are designed can deliver an unspoken message about the dominant teaching and learning paradigm and can also shape and influence the teaching and/or learning practices that take place. Therefore, the learning organisation ensures that due attention is paid to the design and organisation of learning spaces so that their utility is aligned with intended teaching and learning activities.)",Infrastructure
64,"The design (or customisation) of virtual learning spaces (VLEs and learning platforms) adequately reflects the intended pedagogic paradigm and affords a staff/student experience that complements and is consistent with that experienced in face-to-face settings. Virtual learning spaces are also designed (or customised) to optimise usability, accessibility and the user experience.",Virtual Learning Spaces are optimised,"Physical and Virtual Learning Spaces are designed for digital-age learning (The way in which physical and virtual learning spaces are designed can deliver an unspoken message about the dominant teaching and learning paradigm and can also shape and influence the teaching and/or learning practices that take place. Therefore, the learning organisation ensures that due attention is paid to the design and organisation of learning spaces so that their utility is aligned with intended teaching and learning activities.)",Infrastructure
65,"The use of digital technologies, content, platforms and services by staff and students is regulated by an Acceptable Usage Policy formally adopted by the organisation and clearly communicated to all users.",An Acceptable Usage Policy is in place,"The digital infrastructure is planned and managed (The organisation has in place the necessary expertise and processes to ensure the effective identification, selection and organisation-wide deployment of a range of digital learning technologies appropriate to its scale and needs. Front facing services must operate seamlessly as far as staff and students are concerned. For this to happen, core ICT backbone and services (networks, portals, Wi-Fi, cloud), must be omnipresent.)",Infrastructure
66,"The organisation has access to pedagogical and technical expertise (internally and/or externally) to support planning and decision making about investment in technologies, resources and services.",Pedagogical and technical expertise direct investments in digital technologies,"The digital infrastructure is planned and managed (The organisation has in place the necessary expertise and processes to ensure the effective identification, selection and organisation-wide deployment of a range of digital learning technologies appropriate to its scale and needs. Front facing services must operate seamlessly as far as staff and students are concerned. For this to happen, core ICT backbone and services (networks, portals, Wi-Fi, cloud), must be omnipresent.)",Infrastructure
67,"The organisation has in place a range of digital learning technologies, tools, applications, content and services and takes appropriate steps to ensure that these can be accessed by staff and students any-place/anytime (e.g., in both formal and informal settings and/or including one-to-one deployment).",A range of digital learning technologies supports anytime/anyplace learning,"The digital infrastructure is planned and managed (The organisation has in place the necessary expertise and processes to ensure the effective identification, selection and organisation-wide deployment of a range of digital learning technologies appropriate to its scale and needs. Front facing services must operate seamlessly as far as staff and students are concerned. For this to happen, core ICT backbone and services (networks, portals, Wi-Fi, cloud), must be omnipresent.)",Infrastructure
68,Staff and students may use their own devices and may connect these to services provided by the organisation. A BYOD policy defines the parameters for own device usage.,Bring Your Own Device (BYOD) approaches are supported,"The digital infrastructure is planned and managed (The organisation has in place the necessary expertise and processes to ensure the effective identification, selection and organisation-wide deployment of a range of digital learning technologies appropriate to its scale and needs. Front facing services must operate seamlessly as far as staff and students are concerned. For this to happen, core ICT backbone and services (networks, portals, Wi-Fi, cloud), must be omnipresent.)",Infrastructure
69,"As digital devices and connectivity proliferate, the organisation is sensitive to the risk of exacerbating inequalities experienced by socio-economically disadvantaged students, and takes steps to ensure that special measures are in place to provide for the needs of these students.",Risks relating to inequality and digital inclusion are addressed,"The digital infrastructure is planned and managed (The organisation has in place the necessary expertise and processes to ensure the effective identification, selection and organisation-wide deployment of a range of digital learning technologies appropriate to its scale and needs. Front facing services must operate seamlessly as far as staff and students are concerned. For this to happen, core ICT backbone and services (networks, portals, Wi-Fi, cloud), must be omnipresent.)",Infrastructure
